,title,company,location,salary,summary
0,HR Data Analyst,Total,København,,"Run daily and weekly data checks based on data from HR4U, Catalyst1 & Lessor and identify data gaps.Experienced in HR data systems and interested in data…"
1,Growth Data Analyst,WarnerMedia,København,,"Consolidate data into reporting's agreed with the Growth Analytics team for the MT and for the growth team.You will be responsible for extracting, visualizing…"
2,"Data Analyst, Customer Insights",William Demant Group,Smørum,,"Hands-on experience with data gathering, data cleaning, data exploration.Gather data from multiple sources, clean and transform data into strategic insights."
3,Data Analyst,Wunderman,København,,"Good data management knowledge and commercial understanding, as well as the ability to interpret, analyze and present financial data in a business context."
4,Data Analyst Internship,Statzon,Danmark,,"In this role as a data analyst intern, you will be collecting, arranging and analyzing large datasets that are relevant to our customers and automating related…"
5,Retail Analyst,Magasin du Nord,København,,"Vi har fokus på data, budgetter og det gode købmandskab, mens vi arbejder med formler og data i Excel, Axapta, QlikView mm.Erfaring med Excel, BI og ERP."
6,Data Analyst Intern,Novo Nordisk,Hillerød,,Creating new insights from data by building data models and dashboards as part of use cases or digitalisation initiatives.
7,Talent Acquisition Data Analyst,Genmab,København,,Build data and analytics structures that will enable us to priorities our efforts and resources most efficiently based on data.
8,Growth Data Analyst,HBO Max,København,,"Consolidate data into reporting's agreed with the Growth Analytics team for the MT and for the growth team.You will be responsible for extracting, visualizing…"
9,Meteorological and Oceanographic Data Analyst,Wood Thilsted,København,,"Experience in processing floating LiDAR data;Have experience with instrumentation and QA/QC of wind data.Sound and relevant experience as a wind analyst, in…"
10,Junior Analyst - Intern,3Shape,København,,"With a data-driven approach, three Finance Partners support our Global Sales and Customer Care, R&D and Product Management, and Supply Chain and Operations…"
11,Data Analyst – Global Marketing,VELUX Group,Hørsholm,,Have proven working experience as a data analyst or business data analyst.Acquire data from primary or secondary data sources and maintain databases/data…
12,Data Analyst - Student Assistant,DANISH ENDURANCE,,,Good knowledge of Python is essential and data analysis libraries such as Pandas is an advantage.You are studying Computer Science/IT/Business Administration…
13,Junior Sales Analyst,PVH,København,,God til at arbejde med data og gøre det brugbart for forretningen.PVH Nordic + søger en Junior Sales Analyst.
14,Business Analyst Internship Program (sabbatår),Firmnav,,,Muligheden for at fortsætte hos Firmnav i en mere senior-rolle efter dit internship.Som Business Analyst vil du blive involveret i mange forskellige…
15,Data savvy and quantitative-oriented Consumer Insight Analys...,Lenus eHealth,,,"Quantitative data crunching using e.g. excel.The primary tasks as a Consumer Insight Analyst is: setting up surveys, collecting data, analyzing data, and…"
16,Data Analyst Internship,Statzon,Danmark,,"In this role as a data analyst intern, you will be collecting, arranging and analyzing large datasets that are relevant to our customers and automating related…"
