vegetarian,glutenFree,dairyFree,veryHealthy,healthScore,aggregateLikes,id,title,pricePerServing,readyInMinutes,servings,sourceUrl
False,False,True,False,18.0,7,664087,Turkish Baharat Meatballs with Lentil Pilaf,165.4,45,8,http://www.foodista.com/recipe/J6HGBYYC/turkish-baharat-meatballs-with-lentil-pilaf
False,False,False,False,23.0,18,636558,Buttermilk Onion Rings,224.72,45,3,https://www.foodista.com/recipe/H347QHDP/buttermilk-onion-rings
True,True,True,False,40.0,161,716195,Spicy Indian-Style Hummus,43.68,45,12,http://foodandspice.blogspot.com/2012/07/spicy-hummus-indian-style.html
False,False,False,False,0.0,6,632241,Alouette Crème De Brie Shrimp Cups,26.09,45,30,http://www.foodista.com/recipe/TMXCHQZ8/alouette-creme-de-brie-shrimp-cups
True,True,False,False,2.0,32,641730,Dulce De Leche Cheesecake,127.91,45,10,http://www.foodista.com/recipe/5LN8R7Z4/dulce-de-leche-cheesecake
True,True,False,False,1.0,334,716425,Charred Onion Dip w. Steamed Red Potatoes for Dipping,48.53,45,6,http://fullbellysisters.blogspot.com/2014/12/charred-onion-dip-easyentertaining.html
True,False,True,False,14.0,13,665257,Whole Grain Pumpkin Bread,41.83,45,24,http://www.foodista.com/recipe/NV6J583C/whole-grain-pumpkin-bread
True,True,False,False,6.0,10,647068,Homemade pineapple ice cream,109.99,45,6,http://www.foodista.com/recipe/4MN7KFYB/homemade-pineapple-ice-cream
True,True,True,True,93.0,19,644387,Garlicky Kale,69.09,45,2,http://www.foodista.com/recipe/J2FTJBF7/garlicky-kale
False,False,False,False,1.0,15,636328,Brownie Coffins,55.55,45,5,https://www.foodista.com/recipe/6N5LJN3V/brownie-coffins
False,False,True,False,2.0,11,660868,Spanish Meatballs In Tomato Sauce,59.72,45,20,http://www.foodista.com/recipe/B5G2KB4R/spanish-meatballs-in-tomato-sauce
False,False,False,False,24.0,6,634496,BBQ Mac and Cheese,182.04,45,4,https://www.foodista.com/recipe/FNMKDX42/bbq-mac-and-cheese
False,False,True,False,6.0,10,663338,The Scotch Egg,174.92,45,6,https://www.foodista.com/recipe/VS7W2DW5/the-scotch-egg
False,True,False,False,12.0,7,637569,Cheese Pork Chops,235.4,30,4,http://www.foodista.com/recipe/B8SJ2DD4/cheese-pork-chops
